key_mlbam,key_bbref,name_last,name_first
118079,macharo01,Machado,Robert
118451,mauchge01,Mauch,Gene
121395,rogovsa01,Rogovin,Saul
118427,matiajo01,Matias,John
117688,leonael01,Leonard,Elmer
124159,whiteab01,White,Abe
123959,washbli01,Washburn,Libe
118081,macheda01,Machemer,Dave
120084,osborfr02,Osborn,Fred
110381,auldsle01,Aulds,Tex
110882,bentoru01,Benton,Rube
400290,kearnau01,Kearns,Austin
121843,schmuch01,Schmutz,Charlie
117548,lavinjo01,Lavin,Johnny
120698,postsa01,Post,Sam
424426,bukviry01,Bukvich,Ryan
121493,rothgcl01,Rothgeb,Claude
118764,mckayre01,McKay,Reeve
124284,williri01,Williams,Alva
424585,nancesh01,Nance,Shane
112166,chagnle01,Chagnon,Leon
444453,canzlru01,Canzler,Russ
133160,winnra01,Winn,Randy
592831,wadeko01,Wade,Konner
115878,hewitja01,Hewitt,Jake
805904,coleza01,Cole,Zach
124316,williha01,Williams,Harry
115088,greenda02,Green,Dallas
118565,mccatst01,McCatty,Steve
113175,deasljo01,Deasley,John
111270,bouchde01,Boucher,Denis
656568,hurstsc01,Hurst,Scott
110133,alexani01,Alexander,Nin
115000,gozzoma01,Gozzo,Mauro
110841,bellira01,Belliard,Rafael
116183,housech02,Householder,Charlie
117795,linhaca01,Linhart,Carl
430971,reeder01,Reed,Eric
664247,garliky01,Garlick,Kyle
123566,underto01,Underwood,Tom
665966,narvaca01,Narváez,Carlos
668800,kniznan01,Knizner,Andrew
118926,mejiaro01,Mejías,Román
118971,merklfr01,Merkle,Fred
818631,kelse02,Kelsey,
543118,drakeol01,Drake,Oliver
117236,kolbed01,Kolb,Eddie
622492,mellake01,Mella,Keury
113447,donnefr01,Donnelly,Frank
817049,sweatge01,Sweatt,George
122300,skizalo01,Skizas,Lou
123924,wardke01,Ward,Kevin
115851,herribi01,Herring,Bill
606291,cabrema01,Cabrera,Mauricio
116931,kellnal01,Kellner,Alex
113040,daniela01,Daniels,Law
117626,lefebbi01,LeFebvre,Bill
115768,henlibu01,Henline,Butch
117013,kernbi01,Kern,Bill
118573,mccleha01,McClellan,Hervey
450314,zobribe01,Zobrist,Ben
119879,oakesre01,Oakes,Rebel
458589,herndda01,Herndon,David
820276,burge02,Burgen,
111998,carleji01,Carleton,Jim
110626,barroto01,Barron,Tony
425662,roneyma01,Roney,Matt
488768,cashnan01,Cashner,Andrew
150255,morriwa02,Morris,Warren
120172,pagemi02,Page,Mitchell
664584,romerjh01,Romero,Jhon
116120,hooddo01,Hood,Don
122199,shrivha01,Shriver,Harry
115638,haydeja01,Hayden,Jack
119711,nelsoro03,Nelson,Rob
119078,millebe01,Miller,Bert
118447,mattoji01,Mattox,Jim
118973,merribr01,Merriman,Brett
119523,munozjo01,Munoz,Jose
113849,engelst01,Engel,Steve
122224,siglipa01,Siglin,Paddy
816471,wrigh06,Wright,
114136,finlebi01,Finley,Bill
121640,salmoti01,Salmon,Tim
123722,vidaljo01,Vidal,José
817172,smithra02,Smith,Raymond
111564,brownjo03,Brown,Joe
122721,steinra02,Stein,Randy
818994,hogan03,Hogan,
592677,riefecj01,Riefenhauser,C. J.
120554,piehcy01,Pieh,Cy
111911,campho01,Camp,Howie
115330,halech01,Hale,Chip
400093,sanchdu01,Sánchez,Duaner
117465,lanehu01,Lane,Hunter
817567,rhodeha01,Rhodes,Harry
121707,saucifr01,Saucier,Frank
572041,polloaj01,Pollock,AJ
124128,weyhigu01,Weyhing,Gus
112549,conceda01,Concepción,Dave
656970,smeltde01,Smeltzer,Devin
113835,embresl01,Embry,Slim
115476,harkemi01,Harkey,Mike
489448,zagurmi01,Zagurski,Mike
113523,doyleda01,Doyle,Danny
816594,willich02,Williams,Charley
115494,harpete01,Harper,Terry
111013,birtsti01,Birtsas,Tim
119175,minorbl01,Minor,Blas
119528,munozbo01,Muñoz,Bobby
818078,moorere01,Moore,Red
114759,gibsosa01,Gibson,Sam
119832,nordhwa01,Nordhagen,Wayne
115074,grayte01,Gray,Ted
615868,concege01,Concepción,Gerardo
421983,pearsja01,Pearson,Jason
111962,cansejo01,Canseco,José
111808,butersa01,Butera,Sal
110561,barfocl01,Barfoot,Clyde
121405,rojasmi01,Rojas,Minnie
121246,riverge01,Rivera,Germán
117598,ledwimi01,Ledwith,Mike
110137,allanan01,Allanson,Andy
122112,shelbjo01,Shelby,John
679525,marshal01,Marsh,Alec
818508,lewisea01,Lewis,Earl
122466,smithwi01,Smith,Wib
118165,mahonch01,Mahoney,Chris
447808,barziph01,Barzilla,Philip
120202,paniajo01,Paniagua,José
502032,norribu01,Norris,Bud
117518,laryal01,Lary,Al
115467,haresh01,Hare,Shawn
681584,villada01,Villar,David
434525,nelsobr02,Nelson,Brad
110568,barklje01,Barkley,Jeff
580268,murphpa99,Murphy,Pat
117404,laffefl01,Lafferty,Flip
817153,sneadsy01,Snead,Sylvester
124396,wilsoic01,Wilson,Icehouse
114482,fullesh01,Fuller,Shorty
117222,kochba01,Koch,Barney
434584,johnsbe02,Johnson,Ben
407816,putzjj01,Putz,J. J.
460322,richaan01,Richardson,Antoan
122745,stephcl01,Stephens,Clarence
124045,weinele01,Weinert,Lefty
644429,severan01,Severino,Anderson
492700,watkiha99,Watkins,Harvey
425489,castijo02,Castillo,José
116544,jimenho01,Jiménez,Houston
650391,jimenel02,Jiménez,Eloy
122796,stillku01,Stillwell,Kurt
124603,wrighri01,Wright,Ricky
672730,thenju01,Then,Juan
122732,stellbi01,Stellberger,Bill
112181,champbi01,Champion,Bill
488676,baislje01,Baisley,Jeff
820226,calhole01,Calhoun,Lefty
112328,clarkji03,Clark,Jim
118361,martica01,Martínez,Carmelo
819815,deaneal01,Deane,Alpheus
816567,willije04,Williams,Jesse
115292,hadleke01,Hadley,Kent
123291,thompgu01,Thompson,Gus
123186,tennato01,Tennant,Tom
819096,hayslcl01,Hayslett,Claude
123976,watkied01,Watkins,Ed
